單字 (Word),詞性 (POS),中文翻譯 (Translation),例句 (Example),已背過 (Learned),Learned,Status,Appeared
endure,v.,忍受,,FALSE,FALSE,,FALSE
engineering,n.,工程,,FALSE,FALSE,,FALSE
enormous,adj.,巨大的,,FALSE,FALSE,,FALSE
ensure,v.,確保,,FALSE,FALSE,,FALSE
enthusiasm,n.,熱情,,FALSE,FALSE,,FALSE
equality,n.,平等,,FALSE,FALSE,,FALSE
era,n.,時代,,FALSE,FALSE,,FALSE
genuine,adj.,真的,,FALSE,FALSE,,FALSE
germ,n.,胚芽,,FALSE,FALSE,,FALSE
gifted,adj.,天才,,FALSE,FALSE,,FALSE
gigantic,adj.,巨大,,FALSE,FALSE,,FALSE
ginger,n.,姜,,FALSE,FALSE,,FALSE
globe,n.,地球,,FALSE,FALSE,,FALSE
glorious,adj.,輝煌,,FALSE,FALSE,,FALSE
goods,n.,商品,,FALSE,FALSE,,FALSE
gown,n.,袍,,FALSE,FALSE,,FALSE
graceful,adj.,優美,,FALSE,FALSE,,FALSE
gracious,adj.,親切,,FALSE,FALSE,,FALSE
graduation,n.,畢業,,FALSE,FALSE,,FALSE
grammar,n.,文法,,FALSE,FALSE,,FALSE
grammatical,adj.,語法的,,FALSE,FALSE,,FALSE
grateful,adj.,感激的,,FALSE,FALSE,,FALSE
gratitude,n.,感激,,FALSE,FALSE,,FALSE
greasy,adj.,膩,,FALSE,FALSE,,FALSE
greeting(s),n.,問候）,,FALSE,FALSE,,FALSE
grief,n.,悲傷,,FALSE,FALSE,,FALSE
guardian,n.,監護人,,FALSE,FALSE,,FALSE
guilt,n.,有罪,,FALSE,FALSE,,FALSE
guilty,adj.,有罪的,,FALSE,FALSE,,FALSE
gulf,n.,海灣,,FALSE,FALSE,,FALSE
habitual,adj.,習慣性的,,FALSE,FALSE,,FALSE
handwriting,n.,手寫,,FALSE,FALSE,,FALSE
hardship,n.,困難,,FALSE,FALSE,,FALSE
hardware,n.,硬體,,FALSE,FALSE,,FALSE
harmony,n.,和諧,,FALSE,FALSE,,FALSE
harsh,adj.,殘酷的,,FALSE,FALSE,,FALSE
haste,n.,匆忙,,FALSE,FALSE,,FALSE
hasten,v.,趨,,FALSE,FALSE,,FALSE
hatred,n.,仇恨,,FALSE,FALSE,,FALSE
invention,n.,發明,,FALSE,FALSE,,FALSE
investigation,n.,調查,,FALSE,FALSE,,FALSE
isolate,v.,隔離,,FALSE,FALSE,,FALSE
isolation,n.,隔離,,FALSE,FALSE,,FALSE
jealousy,n.,妒忌,,FALSE,FALSE,,FALSE
keen,adj.,敏銳的,,FALSE,FALSE,,FALSE
kettle,n.,壺,,FALSE,FALSE,,FALSE
kneel,v.,下跪,,FALSE,FALSE,,FALSE
knob,n.,旋鈕,,FALSE,FALSE,,FALSE
laboratory/lab,n.,實驗室/實驗室,,FALSE,FALSE,,FALSE
landmark,n.,地標,,FALSE,FALSE,,FALSE
largely,adv.,很大程度上,,FALSE,FALSE,,FALSE
lawful,adj.,合法的,,FALSE,FALSE,,FALSE
learned,adj.,學到了,,FALSE,FALSE,,FALSE
lecturer,n.,講師,,FALSE,FALSE,,FALSE
legend,n.,傳奇,,FALSE,FALSE,,FALSE
lengthen,v.,加長,,FALSE,FALSE,,FALSE
liar,n.,說謊者,,FALSE,FALSE,,FALSE
librarian,n.,圖書管理員,,FALSE,FALSE,,FALSE
lifeguard,n.,救生員,,FALSE,FALSE,,FALSE
limitation,n.,局限性,,FALSE,FALSE,,FALSE
linen,n.,亞麻布,,FALSE,FALSE,,FALSE
lipstick,n.,口紅,,FALSE,FALSE,,FALSE
liquor,n.,酒,,FALSE,FALSE,,FALSE
literary,adj.,文學的,,FALSE,FALSE,,FALSE
literature,n.,文學,,FALSE,FALSE,,FALSE
lobster,n.,龍蝦,,FALSE,FALSE,,FALSE
logic,n.,邏輯,,FALSE,FALSE,,FALSE
obstacle,n.,障礙,,FALSE,FALSE,,FALSE
obtain,v.,獲得,,FALSE,FALSE,,FALSE
occasional,adj.,偶然,,FALSE,FALSE,,FALSE
occupation,n.,職業,,FALSE,FALSE,,FALSE
occupy,v.,佔據,,FALSE,FALSE,,FALSE
offend,v.,得罪,,FALSE,FALSE,,FALSE
offense,n.,罪行,,FALSE,FALSE,,FALSE
offensive,adj.,進攻,,FALSE,FALSE,,FALSE
opera,n.,歌劇,,FALSE,FALSE,,FALSE
oppose,v.,反對,,FALSE,FALSE,,FALSE
option,n.,選項,,FALSE,FALSE,,FALSE
orchestra,n.,樂隊,,FALSE,FALSE,,FALSE
orientation,n.,方向,,FALSE,FALSE,,FALSE
otherwise,adv.,否則,,FALSE,FALSE,,FALSE
outcome,n.,結果,,FALSE,FALSE,,FALSE
outstanding,adj.,傑出的,,FALSE,FALSE,,FALSE
overcoat,n.,大衣,,FALSE,FALSE,,FALSE
overcome,v.,克服,,FALSE,FALSE,,FALSE
overlook,v.,俯瞰,,FALSE,FALSE,,FALSE
overthrow,v.,推翻,,FALSE,FALSE,,FALSE
oxygen,n.,氧,,FALSE,FALSE,,FALSE
panel,n.,控制板,,FALSE,FALSE,,FALSE
paragraph,n.,段落,,FALSE,FALSE,,FALSE
partial,adj.,部分的,,FALSE,FALSE,,FALSE
participation,n.,參與,,FALSE,FALSE,,FALSE
partnership,n.,合夥,,FALSE,FALSE,,FALSE
passive,adj.,被動的,,FALSE,FALSE,,FALSE
pasta,n.,義大利麵,,FALSE,FALSE,,FALSE
peculiar,adj.,奇特,,FALSE,FALSE,,FALSE
penalty,n.,懲罰,,FALSE,FALSE,,FALSE
percent,n.,百分比,,FALSE,FALSE,,FALSE
reception,n.,接待,,FALSE,FALSE,,FALSE
recipe,n.,食譜,,FALSE,FALSE,,FALSE
recognition,n.,認出,,FALSE,FALSE,,FALSE
recovery,n.,恢復,,FALSE,FALSE,,FALSE
recreation,n.,娛樂,,FALSE,FALSE,,FALSE
recycle,v.,回收,,FALSE,FALSE,,FALSE
reduction,n.,減少,,FALSE,FALSE,,FALSE
refer,v.,參考,,FALSE,FALSE,,FALSE
reference,n.,參考,,FALSE,FALSE,,FALSE
reflect,v.,反映,,FALSE,FALSE,,FALSE
reflection,n.,反射,,FALSE,FALSE,,FALSE
refugee,n.,難民,,FALSE,FALSE,,FALSE
refusal,n.,拒絕,,FALSE,FALSE,,FALSE
regarding,prep.,關於,,FALSE,FALSE,,FALSE
registration,n.,登記,,FALSE,FALSE,,FALSE
regulate,v.,調節,,FALSE,FALSE,,FALSE
regulation,n.,規定,,FALSE,FALSE,,FALSE
rejection,n.,拒絕,,FALSE,FALSE,,FALSE
relaxation,n.,鬆弛,,FALSE,FALSE,,FALSE
relevant,adj.,相關的,,FALSE,FALSE,,FALSE
relieve,v.,緩解,,FALSE,FALSE,,FALSE
reluctant,adj.,不情願的,,FALSE,FALSE,,FALSE
remarkable,adj.,卓越,,FALSE,FALSE,,FALSE
renew,v.,更新,,FALSE,FALSE,,FALSE
repetition,n.,重複,,FALSE,FALSE,,FALSE
representation,n.,表示,,FALSE,FALSE,,FALSE
reputation,n.,名聲,,FALSE,FALSE,,FALSE
researcher,n.,研究員,,FALSE,FALSE,,FALSE
resemble,v.,類似,,FALSE,FALSE,,FALSE
reservation,n.,預訂,,FALSE,FALSE,,FALSE
resign,v.,辭職,,FALSE,FALSE,,FALSE
sue,v.,起訴,,FALSE,FALSE,,FALSE
suggestion,n.,建議,,FALSE,FALSE,,FALSE
abnormal,adj.,異常,,FALSE,FALSE,,FALSE
summarize,v.,總結,,FALSE,FALSE,,FALSE
abolish,v.,取消,,FALSE,FALSE,,FALSE
surgeon,n.,外科醫生,,FALSE,FALSE,,FALSE
abortion,n.,流產,,FALSE,FALSE,,FALSE
surgery,n.,手術,,FALSE,FALSE,,FALSE
abrupt,adj.,突然的,,FALSE,FALSE,,FALSE
absurd,adj.,荒誕,,FALSE,FALSE,,FALSE
surroundings,n.,周圍環境,,FALSE,FALSE,,FALSE
abundant,adj.,豐富,,FALSE,FALSE,,FALSE
suspicious,adj.,可疑的,,FALSE,FALSE,,FALSE
accelerate,v.,加速,,FALSE,FALSE,,FALSE
syllable,n.,音節,,FALSE,FALSE,,FALSE
accessible,adj.,無障礙,,FALSE,FALSE,,FALSE
sympathetic,adj.,富有同情心的,,FALSE,FALSE,,FALSE
accommodate,v.,容納,,FALSE,FALSE,,FALSE
sympathy,n.,同情,,FALSE,FALSE,,FALSE
accommodation,n.,住宿,,FALSE,FALSE,,FALSE
systematic,adj.,系統的,,FALSE,FALSE,,FALSE
technician,n.,技術員,,FALSE,FALSE,,FALSE
accounting,n.,會計,,FALSE,FALSE,,FALSE
technological,adj.,技術性的,,FALSE,FALSE,,FALSE
telescope,n.,望遠鏡,,FALSE,FALSE,,FALSE
tendency,n.,趨勢,,FALSE,FALSE,,FALSE
tension,n.,緊張,,FALSE,FALSE,,FALSE
terror,n.,恐怖,,FALSE,FALSE,,FALSE
theme,n.,主題,,FALSE,FALSE,,FALSE
thorough,adj.,徹底,,FALSE,FALSE,,FALSE
thoughtful,adj.,周到,,FALSE,FALSE,,FALSE
timetable,n.,時間表,,FALSE,FALSE,,FALSE
timid,adj.,膽小,,FALSE,FALSE,,FALSE
tolerable,adj.,可以忍受的,,FALSE,FALSE,,FALSE
tolerance,n.,寬容,,FALSE,FALSE,,FALSE
tolerant,adj.,寬容,,FALSE,FALSE,,FALSE
tolerate,v.,容忍,,FALSE,FALSE,,FALSE
tomb,n.,墓,,FALSE,FALSE,,FALSE
tortoise,n.,龜,,FALSE,FALSE,,FALSE
tragedy,n.,悲劇,,FALSE,FALSE,,FALSE
tragic,adj.,悲慘,,FALSE,FALSE,,FALSE
transform,v.,轉換,,FALSE,FALSE,,FALSE
translate,v.,翻譯,,FALSE,FALSE,,FALSE
alter,v.,改變,,FALSE,FALSE,,FALSE
amend,v.,修正,,FALSE,FALSE,,FALSE
ample,adj.,充足,,FALSE,FALSE,,FALSE
analyst,n.,分析師,,FALSE,FALSE,,FALSE
anonymous,adj.,匿名的,,FALSE,FALSE,,FALSE
anticipate,v.,預料,,FALSE,FALSE,,FALSE
applause,n.,掌聲,,FALSE,FALSE,,FALSE
appliance,n.,器具,,FALSE,FALSE,,FALSE
apt,adj.,易於,,FALSE,FALSE,,FALSE
architect,n.,建築師,,FALSE,FALSE,,FALSE
architecture,n.,建築學,,FALSE,FALSE,,FALSE
arena,n.,競技場,,FALSE,FALSE,,FALSE
arouse,v.,引起,,FALSE,FALSE,,FALSE
array,n.,大批,,FALSE,FALSE,,FALSE
arrogant,adj.,傲慢的,,FALSE,FALSE,,FALSE
ass,n.,屁股,,FALSE,FALSE,,FALSE
assert,v.,斷言,,FALSE,FALSE,,FALSE
asset,n.,資產,,FALSE,FALSE,,FALSE
assumption,n.,假設,,FALSE,FALSE,,FALSE
athletics,n.,競技,,FALSE,FALSE,,FALSE
attendance,n.,出席率,,FALSE,FALSE,,FALSE
attic,n.,閣樓,,FALSE,FALSE,,FALSE
attorney,n.,律師,,FALSE,FALSE,,FALSE
attribute,v.,屬性,,FALSE,FALSE,,FALSE
authorize,v.,授權,,FALSE,FALSE,,FALSE
autonomy,n.,自治,,FALSE,FALSE,,FALSE
backyard,n.,後院,,FALSE,FALSE,,FALSE
banner,n.,橫幅,,FALSE,FALSE,,FALSE
comedian,n.,喜劇演員,,FALSE,FALSE,,FALSE
commentary,n.,評論,,FALSE,FALSE,,FALSE
commentator,n.,評論員,,FALSE,FALSE,,FALSE
commitment,n.,承諾,,FALSE,FALSE,,FALSE
commodity,n.,商品,,FALSE,FALSE,,FALSE
communism,n.,共產主義,,FALSE,FALSE,,FALSE
commute,v.,通勤,,FALSE,FALSE,,FALSE
commuter,n.,通勤者,,FALSE,FALSE,,FALSE
comparable,adj.,可比,,FALSE,FALSE,,FALSE
compassion,n.,同情,,FALSE,FALSE,,FALSE
compassionate,adj.,富有同情心的,,FALSE,FALSE,,FALSE
compatible,adj.,相容的,,FALSE,FALSE,,FALSE
compel,v.,迫使,,FALSE,FALSE,,FALSE
compensate,v.,補償,,FALSE,FALSE,,FALSE
compensation,n.,賠償,,FALSE,FALSE,,FALSE
competence,n.,權限,,FALSE,FALSE,,FALSE
competent,adj.,勝任的,,FALSE,FALSE,,FALSE
complexity,n.,複雜,,FALSE,FALSE,,FALSE
compliance,n.,遵守,,FALSE,FALSE,,FALSE
complication,n.,並發症,,FALSE,FALSE,,FALSE
comply,v.,遵守,,FALSE,FALSE,,FALSE
comprehend,v.,理解,,FALSE,FALSE,,FALSE
comprehension,n.,理解,,FALSE,FALSE,,FALSE
comprise,v.,包括,,FALSE,FALSE,,FALSE
compulsory,adj.,強制性的,,FALSE,FALSE,,FALSE
conceal,v.,隱藏,,FALSE,FALSE,,FALSE
concede,v.,承認,,FALSE,FALSE,,FALSE
conceive,v.,構想,,FALSE,FALSE,,FALSE
conception,n.,概念,,FALSE,FALSE,,FALSE
condemn,v.,譴責,,FALSE,FALSE,,FALSE
confession,n.,懺悔,,FALSE,FALSE,,FALSE
descriptive,adj.,描述性的,,FALSE,FALSE,,FALSE
destination,n.,目的地,,FALSE,FALSE,,FALSE
destiny,n.,命運,,FALSE,FALSE,,FALSE
destructive,adj.,破壞性的,,FALSE,FALSE,,FALSE
devotion,n.,奉獻精神,,FALSE,FALSE,,FALSE
diagnose,v.,診斷,,FALSE,FALSE,,FALSE
diagnosis,n.,診斷,,FALSE,FALSE,,FALSE
dialect,n.,方言,,FALSE,FALSE,,FALSE
diameter,n.,直徑,,FALSE,FALSE,,FALSE
diaper,n.,尿布,,FALSE,FALSE,,FALSE
digestion,n.,消化,,FALSE,FALSE,,FALSE
dilemma,n.,困境,,FALSE,FALSE,,FALSE
dimension,n.,方面,,FALSE,FALSE,,FALSE
diminish,v.,減少,,FALSE,FALSE,,FALSE
diplomatic,adj.,外交,,FALSE,FALSE,,FALSE
directory,n.,目錄,,FALSE,FALSE,,FALSE
disapprove,v.,不贊成,,FALSE,FALSE,,FALSE
disclose,v.,透露,,FALSE,FALSE,,FALSE
disconnect,v.,斷開,,FALSE,FALSE,,FALSE
discourse,n.,話語,,FALSE,FALSE,,FALSE
discriminate,v.,辨析,,FALSE,FALSE,,FALSE
discrimination,n.,歧視,,FALSE,FALSE,,FALSE
disrupt,v.,擾亂,,FALSE,FALSE,,FALSE
dissolve,v.,溶解,,FALSE,FALSE,,FALSE
distinction,n.,區別,,FALSE,FALSE,,FALSE
distinctive,adj.,獨特的,,FALSE,FALSE,,FALSE
distract,v.,轉移,,FALSE,FALSE,,FALSE
doctrine,n.,教義,,FALSE,FALSE,,FALSE
domain,n.,領域,,FALSE,FALSE,,FALSE
donate,v.,捐,,FALSE,FALSE,,FALSE
donation,n.,捐款,,FALSE,FALSE,,FALSE
donor,n.,捐助者,,FALSE,FALSE,,FALSE
doorway,n.,門口,,FALSE,FALSE,,FALSE
dough,n.,麵團,,FALSE,FALSE,,FALSE
dreadful,adj.,可怕,,FALSE,FALSE,,FALSE
driveway,n.,車道,,FALSE,FALSE,,FALSE
franchise,n.,特許經營權,,FALSE,FALSE,,FALSE
fraud,n.,欺詐罪,,FALSE,FALSE,,FALSE
frontier,n.,邊境,,FALSE,FALSE,,FALSE
galaxy,n.,星系,,FALSE,FALSE,,FALSE
gathering,n.,採集,,FALSE,FALSE,,FALSE
generate,v.,產生,,FALSE,FALSE,,FALSE
generator,n.,發電機,,FALSE,FALSE,,FALSE
genetic,adj.,遺傳的,,FALSE,FALSE,,FALSE
genetics,n.,遺傳學,,FALSE,FALSE,,FALSE
genre,n.,類型,,FALSE,FALSE,,FALSE
gloomy,adj.,陰沉,,FALSE,FALSE,,FALSE
gorgeous,adj.,華麗的,,FALSE,FALSE,,FALSE
gravity,n.,重力,,FALSE,FALSE,,FALSE
greed,n.,貪婪,,FALSE,FALSE,,FALSE
grieve,v.,悲傷,,FALSE,FALSE,,FALSE
grim,adj.,嚴峻,,FALSE,FALSE,,FALSE
guideline,n.,指導方針,,FALSE,FALSE,,FALSE
habitat,n.,棲息地,,FALSE,FALSE,,FALSE
heir,n.,繼承人,,FALSE,FALSE,,FALSE
hence,adv.,因此,,FALSE,FALSE,,FALSE
herb,n.,草本植物,,FALSE,FALSE,,FALSE
heritage,n.,遺產,,FALSE,FALSE,,FALSE
hockey,n.,曲棍球,,FALSE,FALSE,,FALSE
honorable,adj.,光榮的,,FALSE,FALSE,,FALSE
hormone,n.,激素,,FALSE,FALSE,,FALSE
hostage,n.,人質,,FALSE,FALSE,,FALSE
hostile,adj.,敵對的,,FALSE,FALSE,,FALSE
mammal,n.,哺乳動物,,FALSE,FALSE,,FALSE
mandate,n.,授權,,FALSE,FALSE,,FALSE
manipulate,v.,操縱,,FALSE,FALSE,,FALSE
mansion,n.,大廈,,FALSE,FALSE,,FALSE
massive,adj.,大量的,,FALSE,FALSE,,FALSE
masterpiece,n.,傑作,,FALSE,FALSE,,FALSE
mattress,n.,床墊,,FALSE,FALSE,,FALSE
mechanism,n.,機制,,FALSE,FALSE,,FALSE
medication,n.,藥物,,FALSE,FALSE,,FALSE
mentor,n.,導師,,FALSE,FALSE,,FALSE
merge,v.,合併,,FALSE,FALSE,,FALSE
metaphor,n.,隱喻,,FALSE,FALSE,,FALSE
migration,n.,遷移,,FALSE,FALSE,,FALSE
milestone,n.,里程碑,,FALSE,FALSE,,FALSE
minimal,adj.,最小的,,FALSE,FALSE,,FALSE
minimize,v.,最小化,,FALSE,FALSE,,FALSE
mint,n.,薄荷,,FALSE,FALSE,,FALSE
mode,n.,模式,,FALSE,FALSE,,FALSE
modify,v.,調整,,FALSE,FALSE,,FALSE
molecule,n.,分子,,FALSE,FALSE,,FALSE
monopoly,n.,壟斷,,FALSE,FALSE,,FALSE
morality,n.,道德,,FALSE,FALSE,,FALSE
mortality,n.,死亡,,FALSE,FALSE,,FALSE
mortgage,n.,抵押,,FALSE,FALSE,,FALSE
motive,n.,動機,,FALSE,FALSE,,FALSE
municipal,adj.,市級,,FALSE,FALSE,,FALSE
muscular,adj.,肌肉發達的,,FALSE,FALSE,,FALSE
poetic,adj.,詩意的,,FALSE,FALSE,,FALSE
porch,n.,門廊,,FALSE,FALSE,,FALSE
portfolio,n.,文件夾,,FALSE,FALSE,,FALSE
practitioner,n.,實踐者,,FALSE,FALSE,,FALSE
precaution,n.,預防,,FALSE,FALSE,,FALSE
predator,n.,捕食者,,FALSE,FALSE,,FALSE
preference,n.,偏愛,,FALSE,FALSE,,FALSE
premature,adj.,過早的,,FALSE,FALSE,,FALSE
premise,n.,前提,,FALSE,FALSE,,FALSE
premium,n.,優質的,,FALSE,FALSE,,FALSE
prescribe,v.,規定,,FALSE,FALSE,,FALSE
prescription,n.,處方,,FALSE,FALSE,,FALSE
presidency,n.,總統職位,,FALSE,FALSE,,FALSE
presidential,adj.,總統,,FALSE,FALSE,,FALSE
presumably,adv.,想必,,FALSE,FALSE,,FALSE
presume,v.,怙,,FALSE,FALSE,,FALSE
prevail,v.,佔上風,,FALSE,FALSE,,FALSE
proclaim,v.,宣布,,FALSE,FALSE,,FALSE
productivity,n.,生產率,,FALSE,FALSE,,FALSE
profound,adj.,深刻的,,FALSE,FALSE,,FALSE
prohibit,v.,禁止,,FALSE,FALSE,,FALSE
projection,n.,投影,,FALSE,FALSE,,FALSE
prolong,v.,延長,,FALSE,FALSE,,FALSE
prone,adj.,易於,,FALSE,FALSE,,FALSE
propaganda,n.,宣傳,,FALSE,FALSE,,FALSE
prophet,n.,先知,,FALSE,FALSE,,FALSE
prosecution,n.,檢控,,FALSE,FALSE,,FALSE
province,n.,省,,FALSE,FALSE,,FALSE
scope,n.,範圍,,FALSE,FALSE,,FALSE
sector,n.,部門,,FALSE,FALSE,,FALSE
seminar,n.,研討會,,FALSE,FALSE,,FALSE
senator,n.,參議員,,FALSE,FALSE,,FALSE
sensation,n.,感覺,,FALSE,FALSE,,FALSE
sensitivity,n.,靈敏度,,FALSE,FALSE,,FALSE
sensor,n.,感應器,,FALSE,FALSE,,FALSE
sentiment,n.,情緒,,FALSE,FALSE,,FALSE
sentimental,adj.,多愁善感的,,FALSE,FALSE,,FALSE
series,n.,系列,,FALSE,FALSE,,FALSE
server,n.,伺服器,,FALSE,FALSE,,FALSE
session,n.,會議,,FALSE,FALSE,,FALSE
setting,n.,環境,,FALSE,FALSE,,FALSE
shareholder,n.,股東,,FALSE,FALSE,,FALSE
shatter,v.,粉碎,,FALSE,FALSE,,FALSE
sheriff,n.,警長,,FALSE,FALSE,,FALSE
shortage,n.,短缺,,FALSE,FALSE,,FALSE
sibling,n.,兄弟,,FALSE,FALSE,,FALSE
siege,n.,圍城,,FALSE,FALSE,,FALSE
skeleton,n.,骨骼,,FALSE,FALSE,,FALSE
skull,n.,顱骨,,FALSE,FALSE,,FALSE
slavery,n.,奴隸制,,FALSE,FALSE,,FALSE
smog,n.,煙霧,,FALSE,FALSE,,FALSE
suspend,v.,暫停,,FALSE,FALSE,,FALSE
sustain,v.,維持,,FALSE,FALSE,,FALSE
sustainable,adj.,可持續的,,FALSE,FALSE,,FALSE
symbolic,adj.,象徵性的,,FALSE,FALSE,,FALSE
symptom,n.,症狀,,FALSE,FALSE,,FALSE
syndrome,n.,綜合症,,FALSE,FALSE,,FALSE
tackle,v.,處理,,FALSE,FALSE,,FALSE
tactic(s),n.,策略）,,FALSE,FALSE,,FALSE
tempt,v.,誘惑,,FALSE,FALSE,,FALSE
temptation,n.,誘惑,,FALSE,FALSE,,FALSE
terrify,v.,嚇壞,,FALSE,FALSE,,FALSE
testify,v.,作證,,FALSE,FALSE,,FALSE
theft,n.,盜竊,,FALSE,FALSE,,FALSE
theology,n.,神學,,FALSE,FALSE,,FALSE
theoretical,adj.,理論的,,FALSE,FALSE,,FALSE
therapist,n.,治療師,,FALSE,FALSE,,FALSE
therapy,n.,治療,,FALSE,FALSE,,FALSE
thereby,adv.,從而,,FALSE,FALSE,,FALSE
thesis,n.,論文,,FALSE,FALSE,,FALSE
thigh,n.,大腿,,FALSE,FALSE,,FALSE
threshold,n.,臨界點,,FALSE,FALSE,,FALSE
thriller,n.,驚悚片,,FALSE,FALSE,,FALSE
thrive,v.,蓬勃發展,,FALSE,FALSE,,FALSE
throne,n.,王座,,FALSE,FALSE,,FALSE
tournament,n.,比賽,,FALSE,FALSE,,FALSE
toxic,adj.,有毒的,,FALSE,FALSE,,FALSE
trait,n.,特徵,,FALSE,FALSE,,FALSE
traitor,n.,叛徒,,FALSE,FALSE,,FALSE
worthwhile,adj.,值得的,,FALSE,FALSE,,FALSE
worthy,adj.,值得,,FALSE,FALSE,,FALSE
amplify,v.,放大,,FALSE,FALSE,,FALSE
abbreviate,v.,縮寫,,FALSE,FALSE,,FALSE
analogy,n.,類比,,FALSE,FALSE,,FALSE
abide,v.,遵守,,FALSE,FALSE,,FALSE
analytical,adj.,分析性的,,FALSE,FALSE,,FALSE
abound,v.,盛產,,FALSE,FALSE,,FALSE
abstraction,n.,抽象,,FALSE,FALSE,,FALSE
annoyance,n.,煩惱,,FALSE,FALSE,,FALSE
abundance,n.,豐富,,FALSE,FALSE,,FALSE
anthem,n.,國歌,,FALSE,FALSE,,FALSE
academy,n.,學院,,FALSE,FALSE,,FALSE
anticipation,n.,預期,,FALSE,FALSE,,FALSE
antonym,n.,反義詞,,FALSE,FALSE,,FALSE
accordance,n.,符合,,FALSE,FALSE,,FALSE
applaud,v.,鼓掌,,FALSE,FALSE,,FALSE
accordingly,adv.,因此,,FALSE,FALSE,,FALSE
applicable,adj.,適用的,,FALSE,FALSE,,FALSE
accountable,adj.,負責的,,FALSE,FALSE,,FALSE
apprentice,n.,學徒,,FALSE,FALSE,,FALSE
accumulate,v.,積累,,FALSE,FALSE,,FALSE
accumulation,n.,積累,,FALSE,FALSE,,FALSE
archaeology,n.,考古學,,FALSE,FALSE,,FALSE
accusation,n.,指控,,FALSE,FALSE,,FALSE
archive,n.,檔案,,FALSE,FALSE,,FALSE
accustom,v.,習慣,,FALSE,FALSE,,FALSE
acne,n.,粉刺,,FALSE,FALSE,,FALSE
ascend,v.,上升,,FALSE,FALSE,,FALSE
acre,n.,英畝,,FALSE,FALSE,,FALSE
aspire,v.,渴望,,FALSE,FALSE,,FALSE
adaptation,n.,適應,,FALSE,FALSE,,FALSE
assassinate,v.,暗殺,,FALSE,FALSE,,FALSE
addiction,n.,癮,,FALSE,FALSE,,FALSE
asthma,n.,哮喘,,FALSE,FALSE,,FALSE
admiral,n.,上將,,FALSE,FALSE,,FALSE
adolescence,n.,青春期,,FALSE,FALSE,,FALSE
advisory,adj.,諮詢,,FALSE,FALSE,,FALSE
aesthetic,adj.,審美的,,FALSE,FALSE,,FALSE
affectionate,adj.,親熱,,FALSE,FALSE,,FALSE
affiliate,n.,附屬機構,,FALSE,FALSE,,FALSE
affirm,v.,確認,,FALSE,FALSE,,FALSE
airtight,adj.,密閉,,FALSE,FALSE,,FALSE
airway,n.,氣道,,FALSE,FALSE,,FALSE
algebra,n.,代數,,FALSE,FALSE,,FALSE
alienate,v.,離間,,FALSE,FALSE,,FALSE
align,v.,對齊,,FALSE,FALSE,,FALSE
calligraphy,n.,書法,,FALSE,FALSE,,FALSE
cape,n.,岬,,FALSE,FALSE,,FALSE
capsule,n.,膠囊,,FALSE,FALSE,,FALSE
captivity,n.,囚禁,,FALSE,FALSE,,FALSE
cardboard,n.,紙板,,FALSE,FALSE,,FALSE
carefree,adj.,暢快,,FALSE,FALSE,,FALSE
caretaker,n.,看門人,,FALSE,FALSE,,FALSE
carton,n.,紙盒,,FALSE,FALSE,,FALSE
cashier,n.,出納員,,FALSE,FALSE,,FALSE
casualty,n.,傷亡,,FALSE,FALSE,,FALSE
catastrophe,n.,災難,,FALSE,FALSE,,FALSE
cater,v.,迎合,,FALSE,FALSE,,FALSE
caterpillar,n.,毛蟲,,FALSE,FALSE,,FALSE
cavity,n.,空腔,,FALSE,FALSE,,FALSE
celery,n.,芹菜,,FALSE,FALSE,,FALSE
cellular,adj.,細胞的,,FALSE,FALSE,,FALSE
Celsius,n.,攝氏度,,FALSE,FALSE,,FALSE
census,n.,人口普查,,FALSE,FALSE,,FALSE
certify,v.,證明,,FALSE,FALSE,,FALSE
chairwoman,n.,女主席,,FALSE,FALSE,,FALSE
confederation,n.,聯盟,,FALSE,FALSE,,FALSE
champagne,n.,香檳酒,,FALSE,FALSE,,FALSE
charitable,adj.,慈善,,FALSE,FALSE,,FALSE
checkup,n.,清理,,FALSE,FALSE,,FALSE
chemist,n.,化學家,,FALSE,FALSE,,FALSE
chili,n.,辣椒,,FALSE,FALSE,,FALSE
chimpanzee,n.,黑猩猩,,FALSE,FALSE,,FALSE
cholesterol,n.,膽固醇,,FALSE,FALSE,,FALSE
cigar,n.,雪茄,,FALSE,FALSE,,FALSE
civilize,v.,教化,,FALSE,FALSE,,FALSE
clam,n.,蛤,,FALSE,FALSE,,FALSE
deplete,v.,消耗,,FALSE,FALSE,,FALSE
deprive,v.,剝奪,,FALSE,FALSE,,FALSE
descent,n.,血統,,FALSE,FALSE,,FALSE
despise,v.,鄙視,,FALSE,FALSE,,FALSE
destined,adj.,注定的,,FALSE,FALSE,,FALSE
detach,v.,分離,,FALSE,FALSE,,FALSE
detain,v.,扣留,,FALSE,FALSE,,FALSE
detention,n.,拘留,,FALSE,FALSE,,FALSE
deter,v.,阻止,,FALSE,FALSE,,FALSE
detergent,n.,洗滌劑,,FALSE,FALSE,,FALSE
devour,v.,吞食,,FALSE,FALSE,,FALSE
diabetes,n.,糖尿病,,FALSE,FALSE,,FALSE
dictate,v.,聽寫,,FALSE,FALSE,,FALSE
dictation,n.,聽寫,,FALSE,FALSE,,FALSE
dictator,n.,獨裁者,,FALSE,FALSE,,FALSE
